,Accuracy,Loss,
1,0.996710526,0.0561672,
2,0.993421053,0.047831689,-0.013157895
3,0.980263158,0.052501769,1.006578947
4,0.986842105,0.050501077,1.019736842
5,0.986842105,0.055811378,
6,0.986842105,0.057568752,
7,0.980263158,0.057859662,
8,1,0.061316382,
9,0.996710526,0.043979063,
10,0.986842105,0.060713925,
11,0.986842105,0.062647022,
12,1,0.046041586,
13,0.996710526,0.047419802,
14,0.980263158,0.051229611,
15,0.986842105,0.055734174,
16,0.996710526,0.055920496,
17,1,0.050783561,
18,0.996710526,0.051513178,
19,1,0.053671676,
20,0.986842105,0.057420131,
