,Accuracy,Loss
1,0.986842105,0.0561672
2,0.986842105,0.047831689
3,0.98099096,0.052501769
4,0.986842105,0.050501077
5,0.986842105,0.055811378
6,0.986842105,0.057568752
7,0.980263158,0.057859662
8,0.98099096,0.061316382
9,0.986842105,0.043979063
10,0.986842105,0.060713925
11,0.986842105,0.062647022
12,0.980263158,0.046041586
13,0.986842105,0.047419802
14,0.980263158,0.051229611
15,0.986842105,0.055734174
16,0.996710526,0.055920496
17,0.980263158,0.050783561
18,0.986842105,0.051513178
19,0.980263158,0.053671676
20,0.986842105,0.057420131
